Country,Rank
Norway,Corruption
Norway,Corruption
Norway,Corruption
Denmark,Corruption
Denmark,Corruption
Denmark,Corruption
Denmark,Corruption
Denmark,Corruption
Denmark,Corruption
Iceland,Corruption
Switzerland,Corruption
Switzerland,Corruption
Switzerland,Corruption
Finland,Corruption
Finland,Corruption
Finland,Corruption
Norway,Dystopia
Norway,Dystopia
Denmark,Dystopia
Denmark,Dystopia
Denmark,Dystopia
Iceland,Dystopia
Iceland,Dystopia
Iceland,Dystopia
Switzerland,Dystopia
Switzerland,Dystopia
Finland,Dystopia
Finland,Dystopia
Finland,Dystopia
Finland,Dystopia
