Country,Rank
Norway,Economy
Norway,Economy
Norway,Economy
Norway,Economy
Norway,Economy
Norway,Economy
Denmark,Economy
Denmark,Economy
Denmark,Economy
Denmark,Economy
Iceland,Economy
Iceland,Economy
Iceland,Economy
Iceland,Economy
Switzerland,Economy
Switzerland,Economy
Switzerland,Economy
Switzerland,Economy
Switzerland,Economy
Finland,Economy
Finland,Economy
Finland,Economy
Finland,Economy
Norway,Job Satisfaction
Norway,Job Satisfaction
Norway,Job Satisfaction
Norway,Job Satisfaction
Denmark,Job Satisfaction
Denmark,Job Satisfaction
Denmark,Job Satisfaction
Iceland,Job Satisfaction
Iceland,Job Satisfaction
Iceland,Job Satisfaction
Iceland,Job Satisfaction
Switzerland,Job Satisfaction
Switzerland,Job Satisfaction
Switzerland,Job Satisfaction
Finland,Job Satisfaction
Finland,Job Satisfaction
