Country,Rank
Norway,Freedom
Norway,Freedom
Norway,Freedom
Denmark,Freedom
Denmark,Freedom
Iceland,Freedom
Iceland,Freedom
Switzerland,Freedom
Switzerland,Freedom
Finland,Freedom
Finland,Freedom
Norway,Generosity
Norway,Generosity
Norway,Generosity
Norway,Generosity
Denmark,Generosity
Denmark,Generosity
Denmark,Generosity
Iceland,Generosity
Iceland,Generosity
Iceland,Generosity
Iceland,Generosity
Iceland,Generosity
Iceland,Generosity
Iceland,Generosity
Switzerland,Generosity
Switzerland,Generosity
Finland,Generosity
Finland,Generosity
